Alias	Name
MI0014241	hsa-mir-3196
MI0014242	hsa-mir-3156-3
MI0014243	hsa-mir-3118-5
MI0014244	hsa-mir-548x
MI0014245	hsa-mir-3197
MI0014246	hsa-mir-3198-1
MI0014247	hsa-mir-3199-1
MI0014248	hsa-mir-3199-2
MI0014249	hsa-mir-3200
MI0014250	hsa-mir-3201
MI0014251	hsa-mir-514b
MI0014252	hsa-mir-3202-1
MI0014253	hsa-mir-3202-2
MI0014254	hsa-mir-1273d
MI0015822	hsa-mir-4295
MI0015823	hsa-mir-4296
MI0015824	hsa-mir-4297
MI0015825	hsa-mir-378c
MI0015826	hsa-mir-4293
MI0015827	hsa-mir-4294
MI0015828	hsa-mir-4301
MI0015829	hsa-mir-4299
MI0015830	hsa-mir-4298
MI0015831	hsa-mir-4300
MI0015832	hsa-mir-4304
MI0015833	hsa-mir-4302
MI0015834	hsa-mir-4303
MI0015835	hsa-mir-4305
MI0015836	hsa-mir-4306
MI0015837	hsa-mir-4309
MI0015838	hsa-mir-4307
MI0015839	hsa-mir-4308
MI0015840	hsa-mir-4310
MI0015841	hsa-mir-4311
MI0015842	hsa-mir-4312
MI0015843	hsa-mir-4313
MI0015844	hsa-mir-4315-1
MI0015845	hsa-mir-4316
MI0015846	hsa-mir-4314
MI0015847	hsa-mir-4318
MI0015848	hsa-mir-4319
MI0015849	hsa-mir-4320
MI0015850	hsa-mir-4317
MI0015851	hsa-mir-4322
MI0015852	hsa-mir-4321
MI0015853	hsa-mir-4323
MI0015854	hsa-mir-4324
MI0015855	hsa-mir-4256
MI0015856	hsa-mir-4257
MI0015857	hsa-mir-4258
MI0015858	hsa-mir-4259
MI0015859	hsa-mir-4260
MI0015860	hsa-mir-4253
MI0015861	hsa-mir-4251
